case,method,iterations,max_iterations,converged,relative_residual,relative_displacement_error,relative_energy_gap,relative_compliance_error,seconds_with_diagnostics,step
uniform_12x4,GD,93648,120000,True,9.999599798158938e-07,5.84408953141417e-06,3.274281841122749e-11,5.601504478073382e-06,0.9982405070004461,3.9435375102505654
uniform_12x4,Jacobi-GD,75404,120000,True,9.999461407689982e-07,5.453773949058786e-06,2.8520250612699973e-11,5.216548501534746e-06,0.8433516439999948,0.8959223427125096
uniform_12x4,CG,76,5000,True,7.003500981910318e-07,1.7629035922118124e-09,4.167430162607177e-15,1.6794187634226732e-11,0.0018321590005143662,
uniform_12x4,Jacobi-PCG,68,5000,True,4.3263281431561805e-07,7.562750306620631e-10,1.375336080574745e-15,2.369057466397231e-13,0.002167243999792845,
uniform_24x8,GD,120000,120000,False,0.0015970238042610843,0.017422409499115235,0.00028832795008115216,0.016545159337947108,1.8966403829999763,3.7229516073436435
uniform_24x8,Jacobi-GD,120000,120000,False,0.0009242729172313013,0.009715411371483478,8.966334185101608e-05,0.009215315511105686,1.9109227090002605,0.8969423463363498
uniform_24x8,CG,150,5000,True,9.728370222290028e-07,2.3055396182649604e-09,1.2548232007884815e-14,6.354042602692651e-13,0.004566689000057522,
uniform_24x8,Jacobi-PCG,138,5000,True,6.329704815818581e-07,1.087739368748917e-09,4.119632786898322e-15,1.0701913338528545e-11,0.006366898999658588,
uniform_48x16,GD,120000,120000,False,0.016594556825960123,0.3496639659947949,0.11516069937094409,0.32925545619740476,4.252209330000369,3.6618655526861628
uniform_48x16,Jacobi-GD,120000,120000,False,0.015617389223104312,0.3226628090696123,0.09806326734159096,0.30363781291130815,4.313250717999836,0.8974164386882888
uniform_48x16,CG,293,5000,True,9.061385304546936e-07,2.2672662921091356e-09,1.6645238182711056e-14,1.7807790913352561e-12,0.01704210900061298,
uniform_48x16,Jacobi-PCG,275,5000,True,9.298540742502209e-07,2.686933407525468e-09,2.0584701075076348e-14,1.0425422754078954e-11,0.017586730000402895,
uniform_120x40,CG,710,5000,True,9.61803458400142e-07,2.9008488082252197e-09,3.640521447948884e-14,1.911160788264816e-12,0.18491158100005123,
uniform_120x40,Jacobi-PCG,686,5000,True,9.671825054786632e-07,4.257234496214879e-09,5.27657754977253e-14,6.741873771324163e-12,0.17673800000011397,
optimized_120x40_Emin_1e-03,CG,5000,5000,False,2.3064882310039477e-05,3.908238767867212e-06,2.614060906196939e-10,2.5766602547852835e-10,1.132532706999882,
optimized_120x40_Emin_1e-03,Jacobi-PCG,1229,5000,True,9.363578331318592e-07,2.1435169669405788e-08,2.3786796094759112e-14,5.083654805792665e-12,0.33586568500049907,
optimized_120x40_Emin_1e-06,CG,5000,5000,False,0.01710381590327518,0.299887196118698,0.0034676179645846453,0.003467643204750742,1.2607453679993341,
optimized_120x40_Emin_1e-06,Jacobi-PCG,1216,5000,True,8.699413632568315e-07,7.450571870860819e-07,1.813376329939976e-14,1.0209992339292441e-11,0.3507132209997508,
optimized_120x40_Emin_1e-09,CG,5000,5000,False,0.007228868135382597,0.42677662009382145,0.0005177073639534451,0.0005177075791919227,1.140168525000263,
optimized_120x40_Emin_1e-09,Jacobi-PCG,1201,5000,True,9.268853248459159e-07,3.065922443580977e-05,2.3314247646110645e-14,1.2324520356410486e-11,0.3235911659994599,
